Deep_House,Tropical_House,Progressive_House,EDM_Progressive_House,Future_House,Future_Bounce,Ghetto_House,Bassline_House,Melbourne_Bounce,Dutch_House,Melodic_Progressive_House,Deep_Progressive_House,Chill_House,Afro_House,Electro_House,Real_House,Tech_House,Nu_Disco,Melodic_Techno,Industrial_Techno,Hard_Techno,Deep_Techno,Ambient_Techno,Dark_Techno,Acid_Techno,Dub_Techno,Rawstyle,Psystyle,Hardstyle,Happy_UK_Core,Uptempo_Hardcode,Frenchcore,Industrial_Hardcore,Bigroom_Trance,FTP_Trance,Progressive_Trance,Uplifting_Trance,Tech_Trance,Classic_Trance,Goa_Trance,EDM_Psy,Full_On_Psy,Dark_Psy,Progressive_Psy,Melodic_Dubstep,Melodic_Bass,Color_Bass,Riddim_Dubstep,Deathstep,Deep_Dubstep,UK_Dubstep,Brostep,Future_Bass,Bubblegum_Bass,Leftfield_Bass,Liquid_Funk,Neuro_Funk,Drum_And_Bass,UK_Garage,Future_Garage,Breaks,Jungle,Big_Beat,Hard_Trap,Hybrid_Trap,Heaven_Trap,Dark_Trap,Chill_Trap,EDM_Trap,Glitch_Hop,Neuro_Hop,Trip_Hop,Jazz_Hop,Ambient,Chillout,Downtempo,Midtempo,Electronica,IDM,Indie_Dance,Complextro,Brazilian_Bass,Jungle_Terror,Jersey_Club,Carnival,Moombahton,Moombahcore,Synth_Pop,Bigroom_House,Bass_House
2311859341,3050326795,2311844703,2842283421,2868689224,2881804460,2394673784,807752612,2791862713,2197304444,2118168726,4908861479,2746277129,2279713891,2356459779,2311818958,2311869129,3071306977,5371584442,3050395135,3102318465,2893903153,6765524940,2563002637,2212083916,4908842716,938270524,2029641352,5040762575,2515362485,2325145487,2145194256,3006223612,7259355873,2089789506,2438790963,2101580388,708202502,3133032737,2765946422,2813275271,914773724,2485510854,909533302,779135629,2158599884,5471559431,2972663334,731128402,2654064614,2417914825,2860433299,2868709033,5008618202,5008580591,2144312730,2859895907,2417961016,2394710341,3091042072,2495052143,2410358508,4908890217,170564778,2413413893,884987854,2172183030,2182525021,2719661343,2730281156,2162934403,2619203618,2382596169,2751851572,2223523560,2311869326,3071326692,3072530632,2512048687,2534315438,2771216325,3086490863,550030298,3132993967,910291768,2924259588,2220838275,2473964271,5212853935,765771443
533211242,6797139799,2131912902,5257777447,5212937182,3009625546,694267934,2838061949,578963016,2268341900,509808302,2548910628,552857317,2003617283,2127162163,923534027,5212921635,2606652144,2152121986,2386649095,3132559759,6681229755,2551782541,7557681504,8498261204,2759769206,3092955549,2526732410,557757824,4924113162,2327484466,959922454,5041083421,6735669663,5453528073,2194540044,2686157463,806966303,954749333,2269934012,3131129589,2108751926,5251735341,3204762220,2443509932,8001268851,5202971693,3102355272,2342663718,2362416335,2584639476,2095010682,7463646845,2996229896,904721653,2245067520,5264953875,5308599302,7082843401,5076804809,716916388,2457444186,2530091675,616792907,2561615424,56217017,2499598373,155926028,692029375,5149684668,5264953875,2233236957,7730337948,2344831813,167465039,2467758690,2354894184,3007501298,31057682,616803780,584634171,2652514651,771640792,753371813,2509673994,2069998416,519000604,2991369744,977384848,5212866806
,740681814,7534988863,3015218033,3188628418,2253325579,979987793,2160205963,5338767390,5089739584,2309846821,,2407750026,7426369334,5440837021,,4870343059,5285018450,,2532005646,2703967895,2072269141,2532041273,2662308410,3235327909,2532037425,,2022435927,2618474837,312968273,,3111209267,4952064921,2151745731,,,,2533167396,2611801007,,6823433204,2772793417,5342518256,7303964121,7754275915,2088663164,,786862995,,,2498233316,2477658737,637652108,2965503945,5001753885,5028741446,959792573,541425908,2802589124,4864061501,2631511074,2012331872,2978961567,745422909,,5292123854,707658294,307730152,510190176,2821400419,2584485251,470153105,2094051207,5395355136,,480251709,636503109,2438006065,2533116106,2502854357,2949405353,2150374050,942725940,749610986,2108498491,8000455923,2660177203,5038834199,5198469683,3015386089
,888497009,7050046511,,2771939044,3116436050,,797266282,979302142,173096402,,,7025035934,2116039145,2120465740,,2200513498,7510834839,,5335828789,2801332232,,2422786999,2531994816,4897769459,4874047956,,976701338,714188762,2760499420,,,,2566173407,,,,,2608188140,,6620915724,4870144897,2674570605,,2220818044,3127653867,,,,,2540725534,2869401099,5245963086,2686888371,6664779744,3034594184,5229251134,643655804,2638855604,2481105274,,,5163982690,509685614,,5038101400,2828150237,2340680950,2095040345,910036322,7602234625,5252671474,108966189,2579869337,,422109438,617021092,,2549373057,8433659202,6686195469,810966344,578845828,8105094940,,2345781577,2748510941,120835400,504854240,481119984
,165974833,,,731254934,2128689551,,603447602,2842336513,322920607,,,2498464499,2020412904,2101219328,,,649757800,,7495344778,5386356809,,8517829202,,2144381658,4897930205,,774632286,2308157719,3038523497,,,,,,,,,5125558384,,7696864900,,7685413308,,5240838996,87631962,,,,,5177907333,2268108226,7659052715,2940864728,2395571240,,3136204459,2800520562,2723182255,2361609471,,,5485142367,612828118,,2873048401,89499699,730478303,5212938372,2740752681,6760880508,807757997,6924556441,,,49860600,4966906769,,407135684,5373091471,518973391,,806508870,4893099004,,945582483,1985066226,2912906522,993745844,450474021
,78434302,,,149810546,2169193809,,3214522463,110276449,694903749,,,,5015311283,5285740922,,,2092445987,,5361778517,,,7036127091,,702351653,7398141076,,2657649426,,,,,,,,,,,2716494794,,2643465160,,2585578358,,2231413975,4877787751,,,,,810825020,,610638719,2684083509,,,5135927874,2061520493,2829096028,2602982914,,,431692234,2456602254,,3102328317,2166507512,2189997327,2633138385,2349985645,541162617,61276620,,,,396490174,2785530546,,2170331499,5337350380,5057682178,,5180297403,692422469,,5297871433,6621411043,6997451771,7033203485,511734086
,,,,,,,,,2661521651,,,,4955361583,5449300257,,,617457329,,2739386679,,,6651667615,,,3139274935,,,,,,,,,,,,,8517257203,,4961227594,,7635260808,,,,,,,,2373788251,,588661675,,,,,,769946232,2665196553,,,6598587517,495937967,,2700915155,,,,5284878865,2733452442,6745339551,,,,725920053,6625359484,,782626252,2211762024,7509775610,,2531853274,7304992434,,817473172,4980599608,7408549680,2621324914,2514035519
,,,,,,,,,,,,,2950947663,4892707287,,,,,5056133247,,,6980672608,,,,,,,,,,,,,,,,510040685,,4981641422,,7572939400,,,,,,,,,,972300142,,,,,,,2665196553,,,7762018458,612828118,,2809477076,,,,2834995590,2514371552,35028233,,,,,2562455094,,,,770091247,,2829893538,2200460070,,2538658108,6856491832,3017403833,,
,,,,,,,,,,,,,3117883859,3177218236,,,,,,,,2989807769,,,,,,,,,,,,,,,,717818347,,5041566730,,5003457090,,,,,,,,,,2313695055,,,,,,,2665196553,,,8184608711,865225850,,5245810912,,,,936293698,4949368550,329888905,,,,,7279889675,,,,,,5416419817,2716679572,,6597298574,7580246420,7723917159,,
,,,,,,,,,,,,,,2659132161,,,,,,,,7452823761,,,,,,,,,,,,,,,,5390422024,,5194868792,,,,,,,,,,,,,,,,,,,4891238285,,,4947297193,2037650562,,5237173276,,,,2791586179,2643399156,5137686076,,,,,2186247500,,,,,,5028661569,2270556047,,496997978,2657762332,2988139319,,
,,,,,,,,,,,,,,3091561863,,,,,,,,,,,,,,,,,,,,,,,,,,2747136712,,,,,,,,,,,,,,,,,,,3083603823,,,7223688668,,,,,,,82440428,4924202516,,,,,,2562455094,,,,,,979500133,7444088705,,,5263643380,2653555856,,
,,,,,,,,,,,,,,2856966553,,,,,,,,,,,,,,,,,,,,,,,,,,3038246965,,,,,,,,,,,,,,,,,,,,,,5467111626,,,,,,,309867126,2837250802,,,,,,2861606129,,,,,,3059605444,2276423257,,,7344705072,24371191,,
,,,,,,,,,,,,,,7470715567,,,,,,,,,,,,,,,,,,,,,,,,,,2653994791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596652538,,,,,,,2796405029,,,,,,2475438740,982025788,,,6632270588,607986982,,
,,,,,,,,,,,,,,2614281552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2821972407,,,,,,,,,,,,,145975392,5186047704,,,378279100,2360640631,,
,,,,,,,,,,,,,,2374675566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5259018223,498693498,,,2259665563,,,
,,,,,,,,,,,,,,8281027415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813592695,,,,5095080792,,,
,,,,,,,,,,,,,,2937958154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6983149017,,,,4980599608,,,
,,,,,,,,,,,,,,4910912519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7557134989,,,,7575245921,,,
,,,,,,,,,,,,,,7062605198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2889856630,,,
,,,,,,,,,,,,,,5095174411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3223120696,,,
,,,,,,,,,,,,,,7025431325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2945404798,,,
,,,,,,,,,,,,,,2958120742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3228113283,,,
,,,,,,,,,,,,,,4963789827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477659657,,,
,,,,,,,,,,,,,,2477701004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5325462525,,,
,,,,,,,,,,,,,,442393298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732918827,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574368677,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5224754561,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7198251284,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6957995930,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7086457393,,,
