Deep_House,Tropical_House,Progressive_House,EDM_Progressive_House,Future_House,Future_Bounce,Ghetto_House,Bassline_House,Melbourne_Bounce,Dutch_House,Melodic_Progressive_House,Deep_Progressive_House,Chill_House,Afro_House,Electro_House,Real_House,Tech_House,Nu_Disco,Melodic_Techno,Industrial_Techno,Hard_Techno,Deep_Techno,Ambient_Techno,Dark_Techno,Acid_Techno,Dub_Techno,Rawstyle,Psystyle,Hardstyle,Happy_UK_Core,Uptempo_Hardcode,Frenchcore,Industrial_Hardcore,Bigroom_Trance,FTP_Trance,Progressive_Trance,Uplifting_Trance,Tech_Trance,Classic_Trance,Goa_Trance,EDM_Psy,Full_On_Psy,Dark_Psy,Progressive_Psy,Melodic_Dubstep,Melodic_Bass,Color_Bass,Riddim_Dubstep,Deathstep,Deep_Dubstep,UK_Dubstep,Brostep,Future_Bass,Bubblegum_Bass,Leftfield_Bass,Liquid_Funk,Neuro_Funk,Drum_And_Bass,UK_Garage,Future_Garage,Breaks,Jungle,Big_Beat,Hard_Trap,Hybrid_Trap,Heaven_Trap,Dark_Trap,Chill_Trap,EDM_Trap,Glitch_Hop,Neuro_Hop,Trip_Hop,Jazz_Hop,Ambient,Chillout,Downtempo,Midtempo,Electronica,IDM,Indie_Dance,Complextro,Brazilian_Bass,Jungle_Terror,Jersey_Club,Carnival,Moombahton,Moombahcore,Synth_Pop,Bigroom_House,Bass_House
1361329605,34364447,530995224,1376940820,418602088,1441388917,1480525863,865749812,1353204995,32166989,1345285423,1466267785,404543804,1397142717,509728916,1918477769,1407613405,546964612,1456659156,1353881133,508081733,1906762244,1359049981,1842734725,1345843612,1369855225,1406232271,1453385187,1953161327,1389369108,1391085865,500508898,564082637,437856957,535048784,1356109126,1310882510,500268741,5211671,17541564,1450894524,1303027171,503314023,28186961,1299557514,1488934830,1841283467,1351918862,548683941,530805941,1404415090,504017025,404783338,544113549,2043097523,1398352894,1376330418,487527828,26939812,504265516,1309543347,1380476183,391347,432506184,1492862801,1489214093,1444691313,412911101,530995221,1375851198,519224096,3950292,1638654,1334934055,27520705,404184492,30953240,1403543383,25545186,2042087034,29357695,560935688,452601591,1914861287,479938723,1375986963,28426930,1344353664,490381947,420069080
541180830,445450185,1303026426,1805412531,559350836,1320074622,864564114,501000198,31066357,1345504240,29748073,18036631,509726053,501328849,448157707,523892189,1379988360,1450990986,862099849,1421440415,552199752,536182953,28275004,1341923399,522631667,1417684050,1385806180,865997490,412175564,1485843959,508145894,1297742607,2015942494,1849603454,1408711380,26945517,404784169,1418973707,2418679,29568013,1907129434,518813431,552663260,1391603212,550404928,435289279,1316563862,529823561,1868113553,1913519968,1296523317,1378848629,470547651,1469973604,1490205705,573670013,1859304752,1477609969,1913363016,1330166722,2024450979,503516740,5225512,448706016,1478243533,38391727,26527066,522529655,479223419,1413432718,544000377,19529216,26082897,1395092207,33252487,1808923956,405599106,1366229897,25749067,1474043978,409302303,1478060057,1320695241,505820527,1494979482,26451291,505785162,1315390727,1402424214,1393291978
1443079892,424060183,1810564446,2005455369,1313036704,1334575429,28252727,1327858875,563500838,35331603,39956005,1377178268,1398210779,513964047,509726928,476324276,493330419,27988332,1811403124,1323270764,865453164,448672400,16967660,1331511806,502706534,1456918970,1391798485,513363287,1299609853,461887294,1385849549,506586325,488577911,426291408,1374604135,1359482477,1391201553,554676252,27128223,495052959,1420471672,28085667,28346543,2002874095,1958518364,1396178566,1822608722,1394309683,1356428865,1317505702,444524820,1316601546,461519007,37722383,2027163947,1983690063,529391593,490637564,27211803,27863823,1481804436,1918463330,5217773,462997850,552747423,555220489,434871163,465921939,1407136264,1462815530,425136950,18354113,22703963,1409540306,26202279,1857840054,1429887941,1839137992,26343404,1944117921,2002917021,1316131404,33223638,530995617,422104487,476324207,29537790,508968480,1871054676,28277619
1474530662,422977011,1309901252,1464135287,530057012,418708657,487379080,507971402,28292734,28911061,458995632,1363948054,1358215098,1417057522,1383858245,1418430577,504104067,28684506,1397903978,1892237251,2027274326,1963079583,1351862583,28855456,1372422766,1830874314,1329241751,1857680900,1387549728,409647642,1847616415,1855732002,1339468491,1495845520,1842317672,1337164334,422463214,494642888,16312284,26857373,2051604862,502706924,508828320,1483495572,1380987876,1981217688,1949353755,1888073537,487598088,1389767908,472137941,31134195,441489043,1987549878,1321603131,535121977,440207350,1475708629,27211780,1347161674,1378812169,1312138308,574019322,403710364,1916774699,454231968,409941743,539895355,451521079,1490199139,1444905232,5207623,813652,1449724447,34468141,34696703,32803825,1466615292,1384052573,504265194,507954931,1399048265,476323571,26430104,1412991129,1458119394,864647422,1297750547,1432038704,569379044
1405434845,34999845,1486421905,33856675,416424958,1366026447,428116325,1425763465,29710188,411213332,1895294783,1392084277,1325341317,504615182,534540401,1345555733,1351923537,1309715770,1373452121,1416795121,1309303426,532777467,1874742140,574134210,1835706734,546046281,1409419960,1378869871,411214121,1393205304,1469978681,1371780320,1834394554,1806956430,1418361190,1879290827,499672518,1892514139,2012341233,26857372,1889985614,1817764719,501983572,1915909506,1301575147,1933005011,1501444142,1439310416,512377523,1307215396,26773309,1387003261,1352105685,420500706,446874226,1448420223,1298329237,24461543,27211869,29722221,1407938197,1968819575,1345911,34228517,1912077992,522528617,400875024,412951074,1348527345,1343520266,489970945,17845857,26259736,1421005518,4428707,406347883,467164280,1415346133,25749056,1812426389,574421930,505678066,1947173666,27919535,1336524484,513363147,31134339,27916893,34516925,1380428056
1347423155,432457819,1329750349,429450233,1418500440,459733866,489768175,1905264284,1392893045,30798096,1392522600,1400090669,516738544,1311266725,1433699485,1819734822,862130616,863608248,863515191,1913686203,1294066826,477933062,520250564,1417803940,1935348068,28701830,1390941928,562597422,1882507353,1423430399,1955810041,1843485335,1447823262,1989169170,574790678,1349267494,1829373934,1867228692,2050166670,17669726,550042789,513513198,573749506,1419640545,1448419923,30621278,1501444144,1446749969,1306497072,1306990146,1411999842,31460202,453268030,1349500180,2019390324,1377467374,23165963,1498679853,1927852192,41650322,1493262442,1473878860,26956386,1303028061,1438363681,1382142949,412187894,1439254356,30431385,495220244,27719036,3737564,27340528,1359210561,408522737,28139586,1402397361,1434225463,16295918,1805542045,524463345,1477874086,1348449373,1956055799,1294889446,26446729,1329750309,40157301,411315810,539980206
518895456,33504153,1368123801,1452779667,525241795,1315397589,1817946976,2046369553,28273061,26559121,1877685464,1352304133,29850975,1485200172,473817256,1846411025,1352047388,2001398797,1381178755,1406565183,1387329269,550136049,1359703120,1417803947,573999920,2721022,1389369207,1346104039,1330357470,1316563347,1347230286,1301575203,1892499643,1974437424,1892287354,1460830492,506874640,1485169261,1407340388,1394537227,518895130,16146705,500851505,1454037238,570304452,1384492897,1458556756,504016023,543655500,530995477,1428634711,399342398,476323574,1325845475,545966560,445844525,1487015661,1985625432,16403786,1317047907,453927199,1295812062,19460395,865868051,1329664405,404784880,412187646,1359014300,477933387,489768179,1481676607,22575474,1928444184,1923679279,408055614,1471941776,1296637536,1362603744,1329641383,1932830427,34084616,1351524271,407450213,1940772400,528270310,29418507,29593576,1344291729,33991883,1347402091
1936073351,37092758,28617541,1394313316,408332580,1372001779,1318163418,571951316,35755750,17248342,1466343195,1375400284,1340283399,560654921,32857112,531911357,1909081856,1477385865,1396094180,1890438297,2040614544,1392864859,1428651020,1417803939,562594140,28621469,497223076,1386840385,442589354,1921328519,1413952777,1939422983,1353121561,1395985541,27643628,1345468894,2026208785,530995352,1428158143,17142443,1349673049,1927280708,26310846,28296559,1383736592,1431057281,1815278409,1336864112,543673942,1855386237,1357742320,1990836,412785957,555950118,1316744528,520906254,28181133,26582020,26704577,1415978825,1394816489,1465293132,27250860,29037183,1323303346,470771029,467394202,38494858,489768100,1337172980,498880661,21891255,22717914,1447607573,17250645,1359977053,402070228,1967188211,1318535173,1461501966,1468657057,1461396954,1434840956,28644151,1340037781,519941117,29427817,1299563899,27501295,1488884012
484732423,422463992,1378509550,1394851977,421423380,1460070735,1319053575,1300281632,1895493469,26065033,1956855509,1385290530,862735088,514185180,1296945742,1330148657,1381314718,493330513,1341206839,544621009,556363846,1977514185,502091359,1368193874,1430411120,17340725,544647286,569090242,453272101,1381736257,1397680987,1297743591,488577913,1874719008,2014442095,533471287,28720816,1817826702,2010014784,562380595,1969759210,561326577,484447303,1901241527,1944531073,1402973909,1857040687,1379344651,1381365158,1455715989,2014939460,431080708,454966533,1367496785,1441156070,467953194,433018784,399342330,1452156404,508319646,1879815299,1849935467,1326032433,499275138,1927345744,1376158584,400162944,32574611,465833688,526470871,1810362147,3315645,1407950973,1456400125,432698688,32477512,1385765724,1807051195,571338893,1386424011,1307111387,1885446866,525238476,1878928390,407862818,1403340841,26967671,27512584,1874718487,1363295850
567069053,34516541,572840746,507134116,1359266885,1306360949,412911787,534542504,405372109,31149505,570288871,1878616222,495218280,540706627,31152265,2013189586,1377534058,1362504335,555867027,28485201,506373927,1427888424,573926506,1403136861,1326191799,32157166,531040911,1366242405,1964091459,408532861,1885026732,1850004595,1353121564,1964001408,2038861131,1439442065,1465401581,500041391,424262320,1470551414,1346105028,520401062,1388995855,1344937738,30951467,1945806068,1442284819,1356248891,1368563537,1979616409,1309277356,522511218,469073320,1300595165,1810430745,479979576,4259646,1364315725,1834349114,493663280,1433682286,1967866546,500282358,404744010,1903919047,415792040,502364527,515455601,29932696,1439574005,1490342938,1302589,2031003603,1420026159,437859327,35307899,500686041,1392143832,1338910563,1904979432,545966853,399953146,37206358,437859579,445702193,417250819,1899435866,19529134,28177264,439037411
