Deep_House,Tropical_House,Progressive_House,Bigroom_House,Bass_House,EDM_Progressive_House,Future_House,Future_Bounce,Ghetto_House,Melodic_Progressive_House,Deep_Progressive_House,Chill_House,Electro_House,Tech_House,Nu_Disco,Melodic_Techno,Industrial_Techno,Hard_Techno,Deep_Techno,Dark_Techno,Acid_Techno,Dub_Techno,Rawstyle,Psystyle,Hardstyle,Happy_UK_Core,Uptempo_Hardcode,Frenchcore,Industrial_Hardcore,Bigroom_Trance,FTP_Trance,Progressive_Trance,Uplifting_Trance,Tech_Trance,Full_On_Psy,Progressive_Psy,Melodic_Dubstep,Melodic_Bass,Color_Bass,Riddim_Dubstep,Deathstep,Deep_Dubstep,UK_Dubstep,Brostep,Future_Bass,Leftfield_Bass,Liquid_Funk,Neuro_Funk,Drum_And_Bass,UK_Garage,Breaks,Jungle,Hybrid_Trap,Dark_Trap,Chill_Trap,EDM_Trap,Jazz_Hop,Ambient,Chillout,Downtempo,Electronica,IDM,Indie_Dance,Brazilian_Bass,Carnival
28436980,399354192,865185775,1294889063,507795194,1806743487,1313034402,550390386,2122775244,479423003,1824193626,515566505,1358164897,1394452747,424264676,1373452123,1394313452,1358416489,28424290,28876516,552534214,513666003,531040911,1433422987,428350507,24516186,1909870130,1321918094,1414725175,1914533709,507794090,1321930178,1416398172,1345477931,1393078711,1403434045,1998327121,1405030781,2127892831,1383147259,1306273903,1810357265,1425725814,1413553574,451113177,2120327368,1898447484,574112899,38391535,2022882525,1407938197,2120101954,1398756676,505498560,863397325,480768683,1788776,1350423419,408532399,1821349779,1430182755,16296047,1960514340,1301970317,451703232
1372905838,414980217,1302455936,512853479,451981204,1388774800,556207249,1419167083,1384041278,1970188894,1470885504,1814743304,2032283795,1426811572,1479229845,1363303485,1410771482,554008517,1420726090,1810430748,1331487492,26303217,504264344,475073555,30953090,544128566,1457526176,2061066310,488577915,1359501056,495220388,573293484,1332918442,534540501,2127892649,1440285823,1840378187,1390031591,1822394476,1875880831,28859409,2088365367,1381724168,406924267,400162495,1886751309,435552549,29734487,1361736662,2008326914,1456708665,1852870993,2093429032,400162948,562409860,28606077,22738214,28716789,34040237,26350246,1894497262,25545188,1905649017,467390188,1462899102
1967261069,443876091,1294077718,1481074881,420500345,1392666027,467595413,463049010,34532507,1422116303,1462538032,514943738,514774208,1378036055,2079604692,1297971339,1367333965,1922989115,27818855,1429407629,1470690174,1424375618,1396186858,1302236048,445845668,1407982361,1854474232,1496855464,25792412,1427042859,543273805,1820685805,417247340,1851131637,2111018708,28186946,1917233520,1420650860,1880228333,1479417350,1868114174,486347914,1357741443,461519802,452601704,1322195859,573918222,437290873,496382138,1487711460,1345589751,546855543,1365208522,410518233,411921347,546104232,26107927,2021339567,32924846,1857840054,1323566835,16332563,2013517043,1341323339,32196420
1958474908,442867168,1386914515,530986653,36924319,1496723269,1452228045,1870624321,1971372786,433223477,1367110532,476323322,507134016,2072244340,458270173,1420869780,1390871884,1354193095,2016780384,518894190,1450969100,493041726,1407809974,1464929715,2137230645,1448619233,1391654358,1365733037,1353125237,1488970809,1352102457,1391016085,500807821,1407044100,1925108096,467952596,573582049,2061244278,1420752760,1385299262,1818916085,539492640,1826377373,1332619654,1481297609,1350507197,1899965605,1893549660,33593949,1866522275,1447584158,1939939706,2135708560,1940989264,407002486,1367142564,1358089285,1386093088,30398373,1318648793,1856256082,1384052574,2085272524,1300308026,863168195
1421488858,36492196,29038005,412911838,573293656,1392689463,1296841321,1461585608,506677513,571973326,2031573662,1325341318,557584158,2059042191,518066280,1437149688,1832567170,561502595,1427336635,1339074566,1389700767,1355352960,1366904650,520277079,22242235,424849022,1396359227,511475323,1345175499,2072245458,530986642,1345477925,1952869034,1357447386,2005112371,2032593343,1316562834,1864388051,1832031853,2135284466,489970177,1350693119,1346080011,455502178,413740209,541835877,501000760,26177017,1327957089,16640358,1340242265,2140451789,1338374881,32364075,30284972,501220676,1797336,2057335525,1945208432,2096328085,1336077924,1354718,2046249336,1370162678,28427894
1935084425,418602894,1313558328,1452295453,1436309747,2077809528,507134216,1307789359,495468562,470795507,1375465782,464377329,526464356,1392150452,457766055,1388828390,1914291022,1356350441,1417938404,1330186827,549411171,1484226956,507533235,574581000,496870474,24122387,1396354748,1843485335,1320744693,1926624172,2045816236,2013340910,1840954643,1326239604,2113510501,1365194106,1984767612,1336558007,1851681684,1303026645,1355268217,1888588615,2044626383,524149251,520458037,546864204,1401863929,1436589863,2063757781,2093900763,1353116808,26813336,1347236910,32408233,32405163,34923837,550071,1420027113,408532524,400876035,1343665985,31356693,1825662960,1456615932,1345672300
2121465223,424264734,415593405,37722166,1318880071,1411703921,1298111765,2057305059,464674144,1386200942,1965884838,470573986,1345478617,1394983760,2027160988,1399660709,1397045314,507936407,1944773716,1376831072,1399660708,1453992130,503206371,1425222446,1964091459,1937999487,1401113788,1477405131,1331050646,2013390706,548060439,1806956262,1398300161,2008168850,2113510502,28871072,1990362380,399366261,1860769789,2106327544,1306496066,553479271,33330704,417250640,428642701,1422780234,573919094,574915688,517454649,1401263365,1428825175,1467302225,1395752187,461080181,28877695,422104982,438462947,1394932532,19064250,414979184,1978350224,1304766998,2068076223,541687683,862099858
1482296250,34723001,555186368,504265110,1329901443,2098414526,535813162,486814376,1944823551,1382997927,1935597313,564569499,1398018995,1878544702,28616438,1322177645,1402449248,1385102543,526472271,27645540,1294879162,17340723,1406461019,1439513302,1297750626,1485861542,2000629592,504281299,1977303333,1871054631,1842317672,1483469397,1368122862,1429414683,469065940,2090011186,468517836,453185943,1862898193,1321927580,1470107726,1969098266,574171174,572634111,478736144,1810430745,28268035,1331800143,476324155,527061402,1400014314,2062933449,1915569985,1833656494,28298970,410518552,405485934,1874946674,3887676,25646383,2015867324,1368147987,1414896555,1477869003,1313330526
2018533301,34723954,1924481123,1824048447,1340489592,1979368721,1459390049,452608739,1322406585,409060477,563379585,419549837,458711871,1393253160,461624698,1371700206,1379598900,2020471746,1334327141,1395759060,1421614465,1369855224,1347324940,1365106883,417833336,488647680,1393327053,2082138065,488601179,1407741413,1863421925,1379401593,1907740486,2122350433,28085668,1811591609,1448420680,1914960710,1965284302,1376826786,1355268219,1430102819,26484555,1847666206,419250854,573900185,445844525,1346928807,2026286181,1962373672,492209737,1944178866,2070745401,407889951,433018873,29807573,1925206124,532776494,36190519,1488774181,34834735,569299574,2051672535,1296491717,1313706314
1349439372,409647286,36921562,31446335,1397992069,1441208611,32073335,1497023979,1322679075,502706191,1460681966,33751702,1317494886,1410352752,1846651819,1396094180,1488391324,491664889,1392864859,516242208,28939196,559022695,500684888,1393597374,443875387,1414923743,1380120116,478049261,1307151054,573601410,1382985274,1336996282,1416382880,1295932646,2112659885,1444601716,1956934833,33365020,1954034294,1490020868,1378048816,1327587529,1919268716,1378017729,548999213,2005057612,1837713639,411928025,490637451,26783320,1418966174,1304811723,2099476564,467595429,1419439284,1439046427,4882143,1393182568,432792553,1354827128,501248422,26408411,1316547370,558219415,469699048
2043292610,33504219,563783549,523248104,34516404,1441263685,424474489,1983231199,1299733341,458995851,1474618424,1416904200,410801715,1404412739,37095284,1320739324,26633170,556363845,1998737534,504396786,1470105059,507114310,488647345,1368323511,1951022775,1854219022,1457566465,1935182564,1839695104,1933363986,1828017205,1915621507,1416794018,1856957789,1356722518,1376187518,1873164638,1993339875,1370437176,1420431825,1336856161,1364506825,1404749315,572634109,469073475,1408901769,481853029,574339348,1461029817,28646245,1837081091,1820005215,2008518144,550172532,27587608,32019370,3494557,1417984693,4396826,1500186528,1826254441,29753365,566752927,1474139750,555347716
