Deep_House,Tropical_House,Progressive_House,Bigroom_House,Bass_House,EDM_Progressive_House,Future_House,Future_Bounce,Ghetto_House,Melodic_Progressive_House,Deep_Progressive_House,Chill_House,Electro_House,Tech_House,Nu_Disco,Melodic_Techno,Industrial_Techno,Hard_Techno,Deep_Techno,Dark_Techno,Acid_Techno,Dub_Techno,Rawstyle,Psystyle,Hardstyle,Happy_UK_Core,Uptempo_Hardcode,Frenchcore,Industrial_Hardcore,Bigroom_Trance,FTP_Trance,Progressive_Trance,Uplifting_Trance,Tech_Trance,Full_On_Psy,Progressive_Psy,Melodic_Dubstep,Melodic_Bass,Color_Bass,Riddim_Dubstep,Deathstep,Deep_Dubstep,UK_Dubstep,Brostep,Future_Bass,Leftfield_Bass,Liquid_Funk,Neuro_Funk,Drum_And_Bass,UK_Garage,Breaks,Jungle,Hybrid_Trap,Dark_Trap,Chill_Trap,EDM_Trap,Jazz_Hop,Ambient,Chillout,Downtempo,Electronica,IDM,Indie_Dance,Brazilian_Bass,Carnival
1835701629,2043267422,518094325,422094557,419646481,1407341584,1415933856,546540891,563348314,1418973662,1396476164,1421880280,1980557143,1338952017,534541195,1401663459,862537766,571022125,520461037,1440808354,1326262977,28473137,1466153824,1808150072,443875414,506440465,1998242809,1862703396,1420726896,1359482491,1388111732,1492123712,1495827911,1849216378,1364304985,1342743826,1823504857,1307739706,1822608719,28415853,425298440,1446275505,1306498835,410925038,534781642,1424325174,535303671,1346104046,865287993,1975368046,489998929,1960624500,2069831771,1464666921,481876106,2008635287,400375,1366232983,407889304,18922498,1442576926,16846152,1448238582,35331832,445702192
532777481,404276447,1397314881,1302084123,427542451,1378701563,33471677,1383844413,487003413,471761220,1356407407,462516497,1977949462,1474565944,495542046,1826122051,1340110167,1394313609,1442185641,1403138347,1393727697,1389505372,1327727876,1430444227,566442183,508221454,1433914689,1416398170,1473615967,2012171319,544511640,1309892273,1834189725,1489205292,1374177360,1990537601,1388285645,27903814,1821160478,1323302121,466332743,1432517200,1296523316,32408141,476323559,1867030096,568039357,26148519,2074664678,1961922963,1476374675,574195252,1448416436,1865566107,35470514,32046045,1834634,574505178,36621672,477332822,1992785609,16332505,1475758228,1492329767,1376170736
525285796,36924979,1400794705,447079486,416531439,1887674513,1374382497,407007852,1304839472,1810963112,1381791332,29422004,1408738759,1393467699,26527476,1437149686,1367333967,563417427,1349398345,1419691525,1427009712,555501083,1368373129,555533437,1981468589,1294010536,1498240008,1853325776,511920163,1410719034,1366699521,1336999153,1393185510,573607282,1483612713,427142706,1880441555,1341903396,1488966500,1952188717,507116263,865798356,862959275,29995243,469272857,1996473755,573892010,1890682028,1475525839,1978106955,1347417487,1946207210,2073353890,1400047862,463197776,473571266,22675756,1988051293,30398467,1821349779,26159285,28323518,2084289715,1477855827,518894085
27668089,2060908984,865185775,1893912249,511694394,2085895571,1296656213,1442476514,1826115696,473571109,1433134875,548857216,1923261875,465921716,27786601,1318571175,1353625399,1382561298,573583482,560261714,573293568,26157385,479938899,1317486010,427416375,1896102921,1857718057,1492160662,1394300522,1847901489,552199683,562597035,1409288643,495171624,1839436088,1430295064,1873200603,1343696454,554242329,1458161177,1374280381,1341509360,1494612277,428116474,460514766,1432582473,1996933671,574344324,573918221,18810314,1480260725,493041957,1429861343,1493966529,1853743380,425136127,1788835,1343755063,407889852,25646387,4341314,1424651299,1899288224,1440638424,458507536
27223673,28096758,441429099,864099161,1483756423,1386846001,29459186,1299639896,508917825,29490360,1387629572,1300502763,1386839000,1447944193,1403356922,2102806908,1381869289,507936403,1395314897,1376817012,1399366257,1396470959,1393088393,1493183427,479029020,1854219022,1803652165,1935182564,1392153765,1373214659,864417977,1322218298,27097510,1429414683,1956207517,1490548404,1951954003,431853425,1843661128,477933888,1900340703,1313010295,1402987072,1419433422,479938834,1823674571,553813226,1492074417,1969705931,1930946960,1407808993,1375629557,1336866589,32364075,2071835748,1374911111,1327617953,1949924140,41654637,41654351,1478430886,16332617,2019496798,1356160487,456175734
2055702274,34928652,522529657,1865089762,427139164,1912878641,415792353,1392013439,1322100815,36921562,1448128100,414980218,441491871,1444333266,27578493,1399884511,1832567732,501074715,26567909,1331511806,1301720867,27400631,1382608699,1331233105,1919635724,503568434,1946059072,1371793551,1324507009,1320306189,27643628,1976178215,502841047,1941175451,1491948492,26659696,33343543,518068407,1851479143,431357953,534315057,1375628732,1952678947,30612325,1487182583,546864204,1308195189,27995234,427595651,1841136816,1866684485,473424773,1496793808,550168726,408522466,521509373,17139870,1988068673,29593153,26494467,1393430473,2051033527,1809541546,1300719735,475264182
1341956096,36587989,1373212407,404184793,427542154,2060008642,31311628,1498141922,1843957977,1956855509,2051033531,419238452,1350446709,1434370264,544739645,1341324387,1322141596,1396863197,548060231,1315179632,1431580083,1423911975,1410092149,412175717,1392986509,521981301,1448633734,1444724770,1387304552,1351731634,1352102457,1977456812,1921230376,1977873079,405242055,32544028,1405066944,1418510709,1811160811,1353423598,1894550046,1823298717,1479426966,446732236,441489043,1808753632,1499485445,1463066539,487527821,1888468731,16258537,2046253771,1856206447,400161995,28877873,31460239,26099010,1918558194,28280181,30621821,2039055501,29459596,2032755161,1398407504,1294910059
27601370,33051849,1862704001,1387267570,430053801,1437454124,534540212,475279320,1317689239,1368949857,1354405995,33020799,1350627383,1318807270,506675793,1941385321,26441989,1340659802,26369528,1902401044,1356028685,28647958,1366904650,1460428383,26663893,1381736257,1301573213,1804746023,1915669441,547036425,865982514,1981919530,1856761505,1839207843,1880479186,28201369,1899386389,1863570952,1869860102,1379843454,1868123762,1979616409,27267048,1383147383,32102752,1488291421,467952109,865699289,422419111,1932923086,2039109533,415793029,2014949067,419115203,447279513,444269610,419250237,1343311938,26569704,417250089,1474934985,1338911557,1989015078,479029412,1430142861
26851754,458711217,865021046,1440858341,403711079,1397135028,1412806007,424264301,1378610744,1402812697,1403701171,516738544,1323692570,1836095847,422073384,1824362652,1377272380,1397045313,1954144525,2037281634,1398403928,17340725,415793529,1363914038,409646541,1350176931,1325635590,1365733037,1846454122,1383152768,535382130,2029595280,508256106,1319774814,1295932674,1390414775,1479473626,571338898,1956541606,1439769305,543663043,1954737737,28471064,419254691,1343207953,514053592,2022947722,1420410554,439121389,27210546,1466304496,1954897795,2030650011,407002468,415793059,1811209764,2988915,2006955622,41650938,16967716,1346354408,1397584495,1463470695,529824411,1334085872
1350316049,1325165053,1311394583,34033521,494645893,513857632,1490989539,1311692776,499274365,1355679183,1363303229,1992800500,475277307,1487576059,494410439,1352073232,1334771057,1304771139,28035496,1823366103,1325128501,1393929124,1301573502,1342155192,1914264376,2061807765,1813843401,1988333881,544121002,1992002978,1897686363,1321013658,28720819,1431389679,2052264351,1387549412,508917233,29568676,1365158761,2053318701,1486810484,865795785,28524327,490416092,1479680133,1320436030,28271140,411907865,496298844,1887005787,1379107188,2045962431,1417231257,399341382,405079317,32958419,460112789,1469829713,27540805,1439148825,1404655089,16563248,1400493828,1300282244,545914839
1381674969,32823237,1457217799,1365514891,399953246,514021524,419254869,1952371550,1340648642,1391389772,1381438070,572720767,28191465,863769138,1485395453,1393608358,1465203919,2048216037,473940129,1403136862,493041725,574403480,1401664433,1375612313,36897266,2017046817,1465076906,2062875765,1334288808,1466503139,555725299,1345468894,439121660,1958228635,29394346,1433470664,1924481205,507585222,1812252299,1398757581,528273395,1993295793,17746978,1320089031,461858723,1827571817,1353357695,1359964782,2082336922,18810317,1403035939,1840566057,1368371828,409941741,33987429,425828162,39324834,1401465911,534491385,1836740609,1918016398,1338910560,1399791403,464674726,525177114
28436984,417833615,1308856981,1481074881,460112225,1388513845,1353151307,439911447,550959104,1334593189,1395759087,425684226,2002917989,520525621,420356133,1329748283,1318904359,1383435277,1462538525,1298472115,1372690836,525968984,1421542521,32348842,1429554327,1857646143,1359295313,1813208595,1892499640,555991024,549008431,1400477053,508872480,1441549563,28085662,1365193655,2022301935,1822748691,1835558958,2087855665,1381368039,1810357264,862285493,462523407,446875733,1441371191,1959875686,1370330745,2093420149,1956029870,1394816489,1830611808,1351383834,33162234,28105352,402073937,454435553,1997209579,30398373,28845398,1466615292,26541173,1806536836,862801085,507134022
